WeekDay,B365H,B365D,B365A,margin,UPD
3,3.6,3.3,2.25,0.9753694581280787,-1.0
6,2.6,3.3,3.0,0.9794520547945207,2.3
6,1.5,4.75,7.0,0.9803439803439803,-1.0
6,2.6,3.4,2.87,0.9735533384497314,2.4
6,2.75,3.25,2.8,0.9723166585721225,2.25
6,2.75,3.2,2.87,0.976020713775047,2.2
6,1.9,3.6,4.5,0.9743589743589745,-1.0
6,2.25,3.4,3.5,0.976298997265269,-1.0
6,1.44,4.5,9.0,0.972972972972973,-1.0
6,2.2,3.4,3.6,0.9742402315484805,-1.0
1,2.75,3.3,2.8,0.9767441860465115,-1.0
4,2.75,3.3,2.8,0.9767441860465115,-1.0
6,2.25,3.3,3.6,0.975369458128079,-1.0
6,2.54,3.3,3.0,0.9708130646282142,2.3
3,2.0,3.5,4.1,0.9712351945854483,-1.0
3,2.54,3.25,3.1,0.9765875438864297,2.25
3,3.0,3.3,2.6,0.9794520547945207,2.3
3,2.14,3.5,3.7,0.9772550955638623,-1.0
3,1.72,3.6,6.0,0.9748110831234256,-1.0
3,2.75,3.3,2.8,0.9767441860465115,-1.0
3,1.66,3.8,6.0,0.9687723968465238,-1.0
3,2.87,3.4,2.62,0.9763440695960344,-1.0
3,2.4,3.3,3.25,0.9733408961996596,-1.0
3,2.37,3.3,3.3,0.9727611940298508,2.3
3,2.3,3.5,3.3,0.9770136079440971,2.5
3,2.45,3.3,3.2,0.9768548234849915,-1.0
4,3.1,3.3,2.5,0.9750285932138772,2.3
5,2.9,3.4,2.6,0.9769817073170731,-1.0
5,2.4,3.4,3.2,0.9772455089820358,-1.0
5,3.9,3.4,2.1,0.9739769150052466,2.4
5,1.44,4.75,8.0,0.9709013484740951,-1.0
5,2.4,3.3,3.3,0.9777777777777777,-1.0
5,2.5,3.3,3.1,0.9750285932138772,2.3
5,2.1,3.4,4.0,0.9800960878517503,-1.0
5,2.1,3.5,3.75,0.9722222222222223,-1.0
5,1.66,3.8,6.0,0.9687723968465238,-1.0
5,2.5,3.4,3.0,0.9732824427480917,2.4
6,1.53,4.2,7.5,0.9755875387137913,-1.0
1,1.9,3.4,4.75,0.9699699699699701,-1.0
1,2.54,3.3,3.0,0.9708130646282142,-1.0
1,3.1,3.3,2.5,0.9750285932138772,-1.0
1,3.2,3.5,2.35,0.9768046019669697,2.5
2,2.54,3.5,2.9,0.9763311368628343,2.5
2,1.72,3.75,5.5,0.9709867250581633,2.75
2,3.1,3.1,2.62,0.9738609112709834,-1.0
2,2.4,3.4,3.2,0.9772455089820358,-1.0
2,3.1,3.3,2.5,0.9750285932138772,-1.0
2,2.14,3.4,3.75,0.9726925956293893,-1.0
4,2.5,3.3,3.1,0.9750285932138772,-1.0
5,1.61,3.9,6.5,0.9695799876466954,2.9
5,2.9,3.5,2.54,0.9763311368628343,-1.0
5,3.9,3.4,2.1,0.9739769150052466,-1.0
5,2.45,3.3,3.2,0.9768548234849915,-1.0
5,2.75,3.4,2.7,0.9726449624349838,-1.0
5,1.85,3.5,5.0,0.9744168547780288,2.5
5,3.25,3.6,2.25,0.9709543568464731,-1.0
5,2.5,3.0,3.4,0.9732824427480915,-1.0
5,2.0,3.4,4.33,0.9755483400702404,-1.0
5,2.25,3.4,3.5,0.976298997265269,-1.0
6,3.6,3.4,2.2,0.9742402315484805,-1.0
4,2.2,3.5,3.5,0.9746835443037977,2.5
1,2.0,3.5,4.2,0.9767441860465117,2.5
1,1.9,3.75,4.33,0.9766298928441411,-1.0
1,2.9,3.3,2.62,0.9713101417835284,-1.0
1,2.2,3.3,3.75,0.9763313609467457,-1.0
1,1.6,3.9,7.0,0.9763075547608405,2.9
1,2.37,3.25,3.4,0.9768001342757502,-1.0
1,2.4,3.25,3.3,0.9733408961996596,-1.0
1,2.04,3.5,4.0,0.9747440273037543,-1.0
1,1.57,4.2,6.5,0.9719268010612487,-1.0
4,2.37,3.25,3.4,0.9768001342757502,-1.0
4,3.0,3.25,2.6,0.9750000000000001,2.25
