WeekDay,B365H,B365D,B365A,margin,UPH
4,1.2,7.5,12.0,0.9523809523809523,0.19999999999999996
5,2.37,3.25,3.0,0.940763358778626,-1.0
5,2.3,3.3,3.25,0.956475378053509,-1.0
5,2.04,3.4,3.75,0.9514925373134328,1.04
5,2.8,3.5,2.45,0.9514563106796117,1.7999999999999998
5,1.85,3.6,4.0,0.9360505973295854,-1.0
5,3.1,3.3,2.37,0.9546066619418851,2.1
6,1.72,3.8,4.75,0.9477958236658932,0.72
6,2.7,3.25,2.7,0.953804347826087,1.7000000000000002
4,5.5,4.33,1.57,0.9526461153533546,-1.0
1,2.62,3.4,2.7,0.9558699626420792,-1.0
1,2.4,3.5,2.9,0.9549196393571149,-1.0
1,1.55,4.0,6.5,0.9532820816085157,0.55
1,1.61,4.33,5.0,0.9505117080659808,-1.0
1,2.37,3.3,3.1,0.9546066619418854,-1.0
1,11.0,5.5,1.28,0.9487870619946092,-1.0
4,1.4,4.75,8.0,0.9525514771709939,-1.0
4,1.75,3.6,5.0,0.9531013615733737,-1.0
